"Observation Report",

"Score Definition"
"5 = Excellent","4 = Good","3 = Neutral","2 = Need To Improved","1 = Not Observed"

SL,"Branch Name","Project Name","Entry Date","Data Submission Date","Activity Name",Year,Month,"Start Date","Start Time","End Date","End Time",Division,District,Upazila,Union,"Event Location","Event Village","Event Ward","Preparatory Work","Time management of the event was","Participants attention","Logistical arrangements","Relevancy of delivery of messages","Participants Feedback","Event Note","Submitted By"
1,"Jashore District Office",Prottasha,,20-03-2022,"Test Activity",2022,March,20-03-2022,13:49:45,20-03-2022,13:49:45,,,,,,,,4,4,4,4,4,4,,
2,"Jashore District Office",Prottasha,,20-03-2022,"Test Activity",2022,March,20-03-2022,13:15:11,20-03-2022,13:15:11,,,,,,,,3,3,3,2,4,4,,
3,Sharsha,"Anuprerona - 2 ",,20-03-2022,"District level CTC meeting",2024,May,20-03-2022,13:05:18,20-03-2022,13:05:18,,,,,,,,3,5,4,5,3,5,,
4,Sharsha,"Anuprerona - 2 ",,20-03-2022,"District level CTC meeting",2024,May,20-03-2022,13:05:18,20-03-2022,13:05:18,,,,,,,,3,5,4,5,3,5,,
5,Sharsha,"Anuprerona - 2 ",,20-03-2022,"District level CTC meeting",2024,May,20-03-2022,13:05:18,20-03-2022,13:05:18,,,,,,,,3,5,4,5,3,5,,
6,"Jashore District Office",ERRIN,,20-03-2022,"Union level LCL workshop",2022,April,20-03-2022,13:02:37,20-03-2022,13:02:37,,,,,,,,4,3,5,5,5,5,,
7,"Jashore District Office",ERRIN,,20-03-2022,"Union level LCL workshop",2022,April,20-03-2022,13:02:37,20-03-2022,13:02:37,,,,,,,,4,3,5,5,5,5,,
8,"RSC Center","Anuprerona - 2 ",,20-03-2022,"UCF orientation/meeting",2021,April,20-03-2022,12:54:05,20-03-2022,12:54:05,,,,,,,,5,4,5,4,4,5,,
9,"RSC Center","Anuprerona - 2 ",,20-03-2022,"UCF orientation/meeting",2021,April,20-03-2022,12:54:05,20-03-2022,12:54:05,,,,,,,,5,4,5,4,4,5,,
10,"RSC Center","Anuprerona - 2 ",,20-03-2022,"UCF orientation/meeting",2021,April,20-03-2022,12:54:05,20-03-2022,12:54:05,,,,,,,,5,4,5,4,4,5,,
11,"RSC Center","Anuprerona - 2 ",,20-03-2022,"UCF orientation/meeting",2021,April,20-03-2022,12:54:05,20-03-2022,12:54:05,,,,,,,,5,4,5,4,4,5,,
12,"Jashore District Office",ERRIN,,20-03-2022,"Union level LCL workshop",2021,February,20-03-2022,12:44:39,20-03-2022,12:44:39,,,,,,,,3,3,4,5,4,4,gfdsgewr,
13,"Jashore District Office",Prottasha,,20-03-2022,"Test Activity",2022,March,20-03-2022,12:10:12,20-03-2022,12:10:12,,,,,,,,4,5,4,3,3,4,ghf,
14,"Jashore District Office",Prottasha,,20-03-2022,"Test Activity",2022,March,20-03-2022,12:10:12,20-03-2022,12:10:12,,,,,,,,4,5,4,3,3,4,ghf,
15,"Jashore District Office",Prottasha,,20-03-2022,"Test Activity",2022,March,20-03-2022,12:10:12,20-03-2022,12:10:12,,,,,,,,4,5,4,3,3,4,ghf,
16,"Jashore District Office",Prottasha,,20-03-2022,"Test Activity",2022,March,20-03-2022,12:10:12,20-03-2022,12:10:12,,,,,,,,4,5,4,3,3,4,ghf,
17,Abhaynagar,Prottasha,,17-03-2022,"Test Activity",2022,March,17-03-2022,20:20:06,17-03-2022,20:20:06,,,,,,,,5,4,5,4,5,3,,
18,Abhaynagar,Prottasha,,17-03-2022,"Test Activity",2022,March,17-03-2022,20:17:42,17-03-2022,20:17:42,,,,,,,,5,3,4,5,4,5,,
19,Abhaynagar,Prottasha,,17-03-2022,"Test Activity",2022,March,17-03-2022,20:15:49,17-03-2022,20:15:49,,,,,,,,5,5,5,5,2,3,,
20,Abhaynagar,Prottasha,,17-03-2022,"Test Activity",2022,March,17-03-2022,20:11:35,17-03-2022,20:11:35,,,,,,,,5,5,5,5,5,5,,
21,Abhaynagar,Prottasha,,17-03-2022,"Test Activity",2022,March,17-03-2022,20:11:35,17-03-2022,20:11:35,,,,,,,,5,5,5,5,5,5,,
22,Abhaynagar,Prottasha,,17-03-2022,"Test Activity",2022,March,17-03-2022,20:11:35,17-03-2022,20:11:35,,,,,,,,5,5,5,5,5,5,,
23,Abhaynagar,Prottasha,,17-03-2022,"Test Activity",2022,March,17-03-2022,20:11:35,17-03-2022,20:11:35,,,,,,,,5,5,5,5,5,5,,
24,Abhaynagar,Prottasha,,17-03-2022,"Test Activity",2022,March,17-03-2022,20:05:41,17-03-2022,20:05:41,,,,,,,,4,4,3,4,4,4,,
25,Abhaynagar,Prottasha,,17-03-2022,"Test Activity",2022,March,17-03-2022,20:05:41,17-03-2022,20:05:41,,,,,,,,4,4,3,4,4,4,,
26,Abhaynagar,Prottasha,,17-03-2022,"Test Activity",2022,March,17-03-2022,19:55:53,17-03-2022,19:55:53,,,,,,,,5,4,4,4,4,5,,
27,Abhaynagar,Prottasha,,17-03-2022,"Test Activity",2022,March,17-03-2022,19:51:21,17-03-2022,19:51:21,,,,,,,,0,0,0,0,0,0,,
28,Abhaynagar,Prottasha,,17-03-2022,"Test Activity",2022,March,17-03-2022,18:55:09,17-03-2022,18:55:09,,,,,,,,2,2,3,3,4,3,,
29,"Jashore District Office",DCBTN-CIFF,,19-11-2021,"Union level CTC meeting",2021,November,11-11-2021,12:00:00,11-11-2021,14:15:00,Khulna,Jashore,"Jashore sadar",,"UNO Office, Sadar,Jashore","Jhumjhumpur ",,5,4,5,4,5,4,,
30,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,10-11-2021,16:05:00,10-11-2021,16:30:00,Khulna,Jashore,Jhikargacha,Nabharan,"Bazar para golam hoshen",Baysha,9,4,4,4,4,4,4,,
31,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,10-11-2021,15:30:00,10-11-2021,16:05:00,Khulna,Jashore,Jhikargacha,Nabharan,"Bazar para golam hoshen",Baysha,9,4,4,4,4,4,4,,
32,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,10-11-2021,14:35:00,10-11-2021,15:00:00,Khulna,Jashore,Jhikargacha,Nabharan,"Vutto dokan pochim para",Hariya,8,4,4,4,4,4,4,,
33,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,10-11-2021,14:00:00,10-11-2021,14:35:00,Khulna,Jashore,Jhikargacha,Nabharan,"Vutto dakan pochim para",Hariya,8,4,4,4,4,4,4,,
34,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,10-11-2021,12:35:00,10-11-2021,13:00:00,Khulna,Jashore,Jhikargacha,Nabharan,"Madrasa para shajan bari",Hariya,8,4,4,4,4,4,4,,
35,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,10-11-2021,12:00:00,10-11-2021,12:35:00,Khulna,Jashore,Jhikargacha,Nabharan,"Madrasa para shajan bari",Hariya,8,4,4,4,4,4,4,,
36,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,10-11-2021,11:05:00,10-11-2021,11:30:00,Khulna,Jashore,Jhikargacha,Nabharan,"Belemat para rofik sofik bari",Hariya,8,4,4,4,4,4,4,,
37,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,10-11-2021,10:30:00,10-11-2021,11:05:00,Khulna,Jashore,Jhikargacha,Nabharan,"Belemat para rofik sofik bari",Hariya,8,4,4,4,4,4,4,,
38,Chaugaschha,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,18-11-2021,12:35:48,18-11-2021,13:00:48,Khulna,Jashore,Chougachha,Jagadishpur,"Toyaz ar Bari bazar para ",Maria,8,4,4,5,5,5,5,,
39,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,10-11-2021,09:35:00,10-11-2021,10:00:00,Khulna,Jashore,Jhikargacha,Nabharan,"Pubro para rojob ali bari",Hariya,8,4,4,4,4,4,4,,
40,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,10-11-2021,09:00:00,10-11-2021,09:35:00,Khulna,Jashore,Jhikargacha,Nabharan,"Pubro para rojob ali bari",Hariya,8,4,4,4,4,4,4,,
41,Chaugaschha,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,18-11-2021,12:00:05,18-11-2021,12:35:05,Khulna,Jashore,Chougachha,Jagadishpur,"Toyaz ar Bari bazar para",Maria,8,4,4,4,4,4,4,,
42,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,09-11-2021,16:05:00,09-11-2021,16:30:00,Khulna,Jashore,Jhikargacha,Shankarpur,"Gagi para arshad bari",Horidrapota,7,4,4,4,4,4,4,,
43,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,09-11-2021,15:30:00,09-11-2021,16:05:00,Khulna,Jashore,Jhikargacha,Shankarpur,"Gagipara arshad bari",Horidrapota,7,4,4,4,4,4,4,,
44,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,09-11-2021,14:35:00,09-11-2021,15:00:00,Khulna,Jashore,Jhikargacha,Shankarpur,"Pubro para laltu bari",Horidrapota,7,4,4,4,4,4,4,,
45,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,09-11-2021,14:00:00,09-11-2021,14:35:00,Khulna,Jashore,Jhikargacha,Shankarpur,"Pubro para laltu bari",Horidrapota,7,4,4,4,4,4,4,,
46,Chaugaschha,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,18-11-2021,11:05:23,18-11-2021,11:30:23,Khulna,Jashore,Chougachha,Jagadishpur,"Bipul ar Bari bil para",Maria,8,5,5,4,4,4,4,,
47,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,09-11-2021,12:05:00,09-11-2021,12:35:00,Khulna,Jashore,Jhikargacha,Shankarpur,"Mat para amirul bari",Khatbariya,8,4,4,4,4,4,4,,
48,Chaugaschha,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,18-11-2021,10:30:37,18-11-2021,11:05:37,Khulna,Jashore,Chougachha,Jagadishpur,"Bipul ar Bari bil para ",Maria,8,4,4,5,5,5,5,,
49,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,09-11-2021,11:30:00,09-11-2021,12:05:00,Khulna,Jashore,Jhikargacha,Shankarpur,"Mat para amirul bari",Khatbariya,8,4,4,4,4,4,4,,
50,Chaugaschha,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,18-11-2021,09:35:17,18-11-2021,10:00:17,Khulna,Jashore,Chougachha,Jagadishpur,"Kalam ar Bari South para",Maria,8,4,4,5,5,4,4,,
51,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,09-11-2021,10:35:00,09-11-2021,11:00:00,Khulna,Jashore,Jhikargacha,Shankarpur,"Uttar para earshad bari",Khatbariya,8,4,4,4,4,4,4,,
52,Chaugaschha,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,18-11-2021,09:00:37,18-11-2021,09:35:37,Khulna,Jashore,Chougachha,Jagadishpur,"Kalam ar Bari South para",Maria,8,4,4,5,5,4,4,,
53,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,09-11-2021,10:00:00,09-11-2021,10:35:00,Khulna,Jashore,Jhikargacha,Shankarpur,"Uttar para earshad bari",Khatbariya,8,4,4,4,4,4,4,,
54,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,09-11-2021,09:05:00,09-11-2021,09:30:00,Khulna,Jashore,Jhikargacha,Shankarpur,"Mosid para billal bari",Khatbariya,8,4,4,4,4,4,4,,
55,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,09-11-2021,08:30:00,09-11-2021,09:05:00,Khulna,Jashore,Jhikargacha,Shankarpur,"Mosid para billal bari",Khatbariya,8,4,4,4,4,4,4,,
56,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,13-11-2021,16:05:00,13-11-2021,16:30:00,Khulna,Jashore,Jhikargacha,,"School Samne Maar Para lemon bari",Parbazar,8,4,4,4,4,4,4,,
57,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,13-11-2021,15:30:00,13-11-2021,16:05:00,Khulna,Jashore,Jhikargacha,,"School Samna Mata Para lemon bari",Parbazar,8,4,4,4,4,4,4,,
58,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,13-11-2021,14:35:00,13-11-2021,15:00:00,Khulna,Jashore,Jhikargacha,," Da father Para Montu bari","Poncho Nagaur ",8,4,4,4,4,4,4,,
59,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,13-11-2021,14:00:00,13-11-2021,14:35:00,Khulna,Jashore,Jhikargacha,," Da father Para Montu bari","Poncho Nagaur ",8,4,4,4,4,4,4,,
60,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,13-11-2021,12:35:00,13-11-2021,13:00:00,Khulna,Jashore,Jhikargacha,,"Eidga para Nazrul bari",Hajrili,9,4,4,4,4,4,4,,
61,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,13-11-2021,12:00:00,13-11-2021,12:35:00,Khulna,Jashore,Jhikargacha,,"Eidga para Nazrul bari",Hajirali,9,4,4,4,4,4,4,,
62,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,13-11-2021,11:05:00,13-11-2021,11:30:00,Khulna,Jashore,Jhikargacha,,"Sheikh Para Ramzan Ali bari",Kauriya,9,4,4,4,4,4,4,,
63,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,13-11-2021,10:30:00,13-11-2021,11:05:00,Khulna,Jashore,Jhikargacha,,"Sheikh Para Ramzan Ali bari",Kauriya,9,4,4,4,4,4,4,,
64,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Community Meeting",0000,November,13-11-2021,09:35:00,13-11-2021,10:00:00,Khulna,Jashore,Jhikargacha,,"Munshi Para Noor Mohammad bari",Kauriya,9,4,4,4,4,4,4,,
65,Jhikargasa,DCBTN-CIFF,,18-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,13-11-2021,09:00:00,13-11-2021,09:35:00,Khulna,Jashore,Jhikargacha,,"Munshi Para Nur Muhammad bari",Kauriya,9,4,4,4,4,4,4,,
66,Chaugaschha,DCBTN-CIFF,,17-11-2021,"Community Meeting",0000,November,17-11-2021,16:00:45,17-11-2021,16:30:45,Khulna,Jashore,Chougachha,Patibila,"Hanif Alir bari bazar para","Boro Niamotpur",2,5,5,4,4,4,4,,
67,Chaugaschha,DCBTN-CIFF,,17-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,17-11-2021,15:30:53,17-11-2021,16:00:53,Khulna,Jashore,Chougachha,Patibila,"Hanif Bhai ar Bari bazar para","Boro Niamotpur",2,4,4,4,4,3,3,,
68,Chaugaschha,DCBTN-CIFF,,17-11-2021,"Community Meeting",0000,November,17-11-2021,12:35:27,17-11-2021,13:00:27,Khulna,Jashore,Chougachha,Patibila,"MD Ayud Alir bari pal para","Boro Niamotpur",2,4,4,4,4,4,4,,
69,Chaugaschha,DCBTN-CIFF,,17-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,17-11-2021,12:00:13,17-11-2021,12:35:00,Khulna,Jashore,Chougachha,Patibila,"MD Ayud Ali ar bari pal para","Boro Niamotpur",2,4,4,4,4,4,4,,
70,Chaugaschha,DCBTN-CIFF,,17-11-2021,"Community Meeting",0000,November,17-11-2021,14:35:55,17-11-2021,15:00:55,Khulna,Jashore,Chougachha,Patibila,"Azizur ar bari South para","Boro Niamotpur",2,5,5,5,5,4,4,,
71,Chaugaschha,DCBTN-CIFF,,17-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,17-11-2021,14:00:34,17-11-2021,14:35:34,Khulna,Jashore,Chougachha,Patibila,"Azizur ar bari south para","Boro Niamotpur",2,4,4,5,5,5,5,,
72,Chaugaschha,DCBTN-CIFF,,17-11-2021,"Community Meeting",0000,November,17-11-2021,11:05:52,17-11-2021,11:30:52,Khulna,Jashore,Chougachha,Patibila,"Billal ar bari near by Mosque","Boro Niamotpur",7,5,5,4,4,5,5,,
73,Chaugaschha,DCBTN-CIFF,,17-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,17-11-2021,10:30:09,17-11-2021,11:05:09,Khulna,Jashore,Chougachha,Patibila,"Billal ar Bari near by Mosque","Boro Niamotpur",2,5,5,4,4,4,4,,
74,Chaugaschha,DCBTN-CIFF,,17-11-2021,"Community Meeting",0000,November,17-11-2021,09:35:18,17-11-2021,10:00:18,Khulna,Jashore,Chougachha,Patibila,"Shaha Alam ar Bari South para","Boro Niamotpur",2,4,4,4,4,5,5,,
75,Chaugaschha,DCBTN-CIFF,,17-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,17-11-2021,09:00:18,17-11-2021,09:35:18,Khulna,Jashore,Chougachha,Patibila,"Shaha alam ar Bari south para","Boro Niamotpur",2,4,4,4,4,5,5,,
76,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Community Meeting",0000,November,02-11-2021,14:35:20,02-11-2021,15:00:20,Khulna,Jashore,Chougachha,Hakimpur,"Aynal ar bari kha para ",Tajbijpur,,4,4,5,5,4,4,,
77,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,02-11-2021,14:00:06,02-11-2021,14:35:06,Khulna,Jashore,Chougachha,Hakimpur,"Aynal ar bari kha para ",Tajbijpur,,4,4,5,5,4,4,,
78,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Community Meeting",0000,November,02-11-2021,12:35:17,02-11-2021,13:00:17,Khulna,Jashore,Chougachha,Hakimpur,"Shafiqul islam ar bari south para ",Suruppur,2,4,4,4,4,4,4,,
79,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,02-11-2021,12:00:44,02-11-2021,12:35:44,Khulna,Jashore,Chougachha,Hakimpur,"Shofiqul islam ar bari south para ",Suruppur,2,4,4,4,4,4,4,,
80,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Community Meeting",0000,November,02-11-2021,11:25:16,02-11-2021,11:50:16,Khulna,Jashore,Chougachha,Hakimpur,"Saidul ar bari nikre para ",Suruppur,2,4,4,5,5,4,4,,
81,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,02-11-2021,10:50:53,02-11-2021,11:25:53,Khulna,Jashore,Chougachha,Hakimpur,"Saidul ar bari Nikre para ",Suruppur,2,4,4,5,5,4,4,,
82,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Community Meeting",0000,November,02-11-2021,10:05:08,02-11-2021,10:30:08,Khulna,Jashore,Chougachha,Hakimpur,"Akram ar bari porbo para ",Suruppur,2,4,4,5,5,4,4,,
83,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,02-11-2021,09:30:36,02-11-2021,10:05:36,Khulna,Jashore,Chougachha,Hakimpur,"Akram ar bari porbo para ",Suruppur,2,4,4,5,5,4,4,,
84,Bagharpara,DCBTN-CIFF,,15-11-2021,"Upazila level LCL workshop",0000,October,07-10-2021,11:00:00,07-10-2021,13:00:00,Khulna,Jashore,Bagherpara,," Bagharpara Brac Office",,,5,4,5,5,4,4,"Overall It was Excellent event.The Participants attend timely.",
85,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Community Meeting",0000,November,01-11-2021,15:55:13,01-11-2021,16:20:13,Khulna,Jashore,Chougachha,Fulsara,"Shamarul ar bari South para ",Fulsara,,4,4,4,4,4,4,,
86,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,01-11-2021,15:20:13,01-11-2021,15:55:13,Khulna,Jashore,Chougachha,Fulsara,"Shamarul ar bari South para ",Fulsara,,4,4,5,5,4,4,,
87,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Community Meeting",0000,November,01-11-2021,14:35:35,01-11-2021,15:00:35,Khulna,Jashore,Chougachha,Fulsara,"Sohan ar bari Majer para ",Fulsara,,4,4,5,5,4,4,,
88,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,01-11-2021,14:00:34,01-11-2021,14:35:34,Khulna,Jashore,Chougachha,Fulsara,"Sohan ar bari Majer para ",Fulsara,,4,4,5,5,4,4,,
89,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Community Meeting",0000,November,01-11-2021,12:15:51,01-11-2021,12:40:51,Khulna,Jashore,Chougachha,Fulsara,"Tojamel ar bari majer para ",Fulsara,,4,4,5,5,4,4,,
90,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,01-11-2021,11:40:10,01-11-2021,12:15:10,Khulna,Jashore,Chougachha,Fulsara,"Tojammel ar bari Majer para ",Fulsara,,4,4,4,4,4,4,,
91,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Community Meeting",0000,November,01-11-2021,10:55:21,01-11-2021,11:20:21,Khulna,Jashore,Chougachha,Fulsara,"Nazrul ar bari Mollah para `",Fulsara,,4,4,5,5,4,4,,
92,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,01-11-2021,10:20:59,01-11-2021,09:55:59,Khulna,Jashore,Chougachha,Fulsara,"Nazrul ar bari Mollah para ",Fulsara,,4,4,5,5,4,4,,
93,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Community Meeting",0000,November,01-11-2021,09:35:22,01-11-2021,10:00:22,Khulna,Jashore,Chougachha,Fulsara,"Haider ar brai Sheikh para ",Fulsara,,4,4,5,5,4,4,,
94,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,01-11-2021,09:00:23,01-11-2021,09:35:23,Khulna,Jashore,Chougachha,Fulsara,"Haider ar bari Sheikh para ",Fulsara,,4,4,5,5,4,4,,
95,Chaugaschha,DCBTN-CIFF,,15-11-2021,"Interactive Popular Theatre Show (IPT)",0000,March,25-03-2021,10:00:40,25-03-2021,10:35:40,Khulna,Jashore,Chougachha,Fulsara,"Rahimar bari Polli Samaj kormi ",Fulsara,6,4,4,4,5,5,5,,
96,Bagharpara,DCBTN-CIFF,,14-11-2021,"Upazila level CTC meeting",0000,October,26-10-2021,11:00:54,26-10-2021,13:21:54,Khulna,Jashore,Bagherpara,,"Bagharpara Upozella",Bagharpara,,5,5,5,5,5,5," The Participants attend timely . Allover the event was Excellent.",
97,Jhikargasa,DCBTN-CIFF,,14-11-2021,"Community Meeting",0000,November,06-11-2021,16:05:00,06-11-2021,16:30:00,Khulna,Jashore,Jhikargacha,Bankra,"Uttarpara rahamathulla Bari",Shukurkhola,6,4,4,4,4,4,4,,
98,Jhikargasa,DCBTN-CIFF,,14-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,06-11-2021,15:30:00,06-11-2021,16:05:00,Khulna,Jashore,Jhikargacha,Bankra,"Uttarpara rahmathullah Bari",Shukurkhola,6,4,4,4,4,4,4,,
99,Jhikargasa,DCBTN-CIFF,,14-11-2021,"Community Meeting",0000,November,06-11-2021,14:35:00,06-11-2021,15:00:00,Khulna,Jashore,Jhikargacha,Bankra,"Madhu para Gopher bari",Shukurkhola,6,4,4,4,4,4,4,,
100,Jhikargasa,DCBTN-CIFF,,14-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,06-11-2021,14:00:00,06-11-2021,14:35:00,Khulna,Jashore,Jhikargacha,Bankra,"Madhu Para 7Gopher bari",Shukurkhola,6,4,4,4,4,4,4,,
101,Jhikargasa,DCBTN-CIFF,,14-11-2021,"Community Meeting",0000,November,06-11-2021,12:05:00,06-11-2021,12:30:00,Khulna,Jashore,Jhikargacha,Bankra,"Biswas Para Afsar bari",Mukondopur,4,4,4,4,4,4,4,,
102,Jhikargasa,DCBTN-CIFF,,14-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,06-11-2021,11:30:00,06-11-2021,12:05:00,Khulna,Jashore,Jhikargacha,Bankra,"Biswas Para Apsar bari",Mukundopur,4,4,4,4,4,4,4,,
103,Jhikargasa,DCBTN-CIFF,,14-11-2021,"Community Meeting",0000,November,06-11-2021,10:35:00,06-11-2021,11:00:00,Khulna,Jashore,Jhikargacha,Bankra,"Paschim Para Abdul khalek bari",Dorgadanga,1,4,4,4,4,4,4,,
104,Jhikargasa,DCBTN-CIFF,,14-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,06-11-2021,10:00:00,06-11-2021,10:35:00,Khulna,Jashore,Jhikargacha,Bankra,"Paschim Para Abdul khalek bari",Dorgadanga,1,4,4,4,4,4,4,,
105,Jhikargasa,DCBTN-CIFF,,14-11-2021,"Community Meeting",0000,November,06-11-2021,09:05:00,06-11-2021,09:35:00,Khulna,Jashore,Jhikargacha,Bankra,"Mulla Para Mukhtar bari",Dorgadanga,1,4,4,4,4,4,4,,
106,Jhikargasa,DCBTN-CIFF,,14-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,06-11-2021,08:30:00,06-11-2021,09:05:00,Khulna,Jashore,Jhikargacha,Bankra,"Mulla Para Mukhtar bari",Dorgadanga,1,4,4,4,4,4,4,,
