"Event Management Report",

SL,"Entry Date","Data Submission Date","Branch Name","Project Name","Activity Name",Year,Month,"Start Date","Start Time","End Date","End Time",Division,District,Upazila,Union,"Event Location","Event Village","Event Ward","Man Participant","Woman Participant","Boy Participant","Girl Participant","Observation Score","Submitted by"
1,N/A,20-03-2022,"RSC Center","Anuprerona - 2 ","UCF orientation/meeting",2021,April,20-03-2022,12:54:05,20-03-2022,12:54:05,,,,,,,,0,0,0,0,27,
2,N/A,20-03-2022,"RSC Center","Anuprerona - 2 ","UCF orientation/meeting",2021,April,20-03-2022,12:54:05,20-03-2022,12:54:05,,,,,,,,0,0,0,0,27,
3,N/A,20-03-2022,"RSC Center","Anuprerona - 2 ","UCF orientation/meeting",2021,April,20-03-2022,12:54:05,20-03-2022,12:54:05,,,,,,,,0,0,0,0,27,
4,N/A,20-03-2022,"RSC Center","Anuprerona - 2 ","UCF orientation/meeting",2021,April,20-03-2022,12:54:05,20-03-2022,12:54:05,,,,,,,,0,0,0,0,27,
5,N/A,16-06-2021,Jhikargasa,DCBTN-CIFF,"UCF orientation/meeting",0000,June,02-06-2021,10:00:00,02-06-2021,12:30:00,Khulna,Jashore,Jhikargacha,Gadkhali,Up,Banali,8,0,10,0,0,24,
6,N/A,16-06-2021,Jhikargasa,DCBTN-CIFF,"UCF orientation/meeting",0000,May,24-05-2021,10:00:00,24-05-2021,13:00:00,Khulna,Jashore,Jhikargacha,Panisara,Up,Borini,4,0,10,0,0,24,
7,N/A,16-06-2021,Jhikargasa,DCBTN-CIFF,"UCF orientation/meeting",0000,May,20-05-2021,15:00:00,20-05-2021,17:30:00,Khulna,Jashore,Jhikargacha,Shankarpur,Ps,Rajbari,7,0,8,0,0,24,
8,N/A,16-06-2021,Jhikargasa,DCBTN-CIFF,"UCF orientation/meeting",0000,May,20-05-2021,10:00:00,20-05-2021,13:00:00,Khulna,Jashore,Jhikargacha,Bankra,"Brac offic",Bakara,1,0,14,0,0,24,
9,N/A,16-06-2021,Jhikargasa,DCBTN-CIFF,"UCF orientation/meeting",0000,May,19-05-2021,10:00:00,19-05-2021,13:00:00,Khulna,Jashore,Jhikargacha,Shimulia,Ps,Gatipara,9,0,6,0,0,24,
10,N/A,16-04-2021,Jhikargasa,DCBTN-CIFF,"UCF orientation/meeting",0000,April,07-04-2021,15:30:00,07-04-2021,18:00:00,Khulna,Jashore,Jhikargacha,,"Parbazar ps",Parbazar,7,0,12,0,0,24,
11,N/A,16-04-2021,Jhikargasa,DCBTN-CIFF,"UCF orientation/meeting",0000,April,06-04-2021,10:00:00,06-04-2021,12:00:00,Khulna,Jashore,Jhikargacha,Nabharan,"Nabharan brac offic",Nabharan,1,0,16,0,0,24,
12,N/A,16-04-2021,Jhikargasa,DCBTN-CIFF,"UCF orientation/meeting",0000,April,04-04-2021,10:00:00,04-04-2021,12:00:00,Khulna,Jashore,Jhikargacha,Magura,"Misridara ps",Misridara,6,0,4,0,0,24,
13,N/A,26-03-2021,Sharsha,DCBTN-CIFF,"UCF orientation/meeting",0000,March,25-03-2021,03:00:00,25-03-2021,05:30:00,Khulna,,,,,"Sakaripotha,Bahadurpur ",,0,4,0,0,21,
14,N/A,26-03-2021,Sharsha,DCBTN-CIFF,"UCF orientation/meeting",0000,March,25-03-2021,03:00:00,25-03-2021,05:30:00,Khulna,Jashore,Sharsha,Bahadurpur,,"Sakaripotha,Bahadurpur ",,0,4,0,0,21,
15,N/A,24-03-2021,Sharsha,DCBTN-CIFF,"UCF orientation/meeting",0000,March,24-03-2021,10:00:00,24-03-2021,12:30:00,Khulna,Jashore,Sharsha,Lakshmanpur,,Lakshmanpur,,0,6,0,0,21,
16,N/A,23-03-2021,Sharsha,DCBTN-CIFF,"UCF orientation/meeting",0000,March,23-03-2021,10:00:00,23-03-2021,12:30:00,Khulna,Jashore,Sharsha,Ulshi,,"Panburi, Ulasi ",,0,18,0,0,20,
17,N/A,22-03-2021,Sharsha,DCBTN-CIFF,"UCF orientation/meeting",0000,February,08-02-2021,03:00:00,08-02-2021,05:30:00,Khulna,Jashore,Sharsha,Benapole,,,,0,10,0,0,23,
18,N/A,22-03-2021,Sharsha,DCBTN-CIFF,"UCF orientation/meeting",0000,February,07-02-2021,03:00:00,07-03-2021,05:30:00,Khulna,Jashore,Sharsha,Putkhali,,Baropotha,,0,8,0,0,22,
19,N/A,22-03-2021,Sharsha,DCBTN-CIFF,"UCF orientation/meeting",0000,January,28-01-2021,10:00:00,28-01-2021,12:30:00,Khulna,Jashore,Sharsha,Benapole," Benapole Parosova ",Bana,,0,8,0,0,21,
20,N/A,22-03-2021,Sharsha,DCBTN-CIFF,"UCF orientation/meeting",0000,January,25-01-2021,10:00:00,25-01-2021,12:30:00,Khulna,Jashore,Sharsha,Sharsha,"Brac office, Sharsha",,,0,14,0,0,21,
21,N/A,18-03-2021,Jhikargasa,DCBTN-CIFF,"UCF orientation/meeting",0000,March,16-03-2021,10:00:00,16-03-2021,12:00:00,Khulna,Jashore,Jhikargacha,Panisara,"Panisha up",,,0,10,0,0,24,
22,N/A,15-03-2021,Jhikargasa,DCBTN-CIFF,"UCF orientation/meeting",0000,March,15-03-2021,10:00:00,15-03-2021,12:00:00,Khulna,Jashore,Jhikargacha,Shankarpur,"Shool pasa",Olokol,8,0,8,0,0,24,
23,N/A,14-03-2021,Jhikargasa,DCBTN-CIFF,"UCF orientation/meeting",0000,March,10-03-2021,10:00:00,10-03-2021,12:00:00,Khulna,Jashore,Jhikargacha,Nibaskhola,"Nibaskhola up",,,0,16,0,0,24,
24,N/A,10-03-2021,Keshabpur,DCBTN-CIFF,"UCF orientation/meeting",0000,March,10-03-2021,10:00:00,10-03-2021,12:30:00,Khulna,Jashore,Keshabpur,Bidyanandakati,"Bidyanandakati UP.","Bidyanandakati,kaliaroi,Bausala,burihati",,0,8,0,0,24,
25,N/A,03-03-2021,Jhikargasa,DCBTN-CIFF,"UCF orientation/meeting",0000,March,03-03-2021,09:00:00,03-03-2021,11:00:00,Khulna,Jashore,Jhikargacha,Gadkhali,"Gadkhali up",,,0,10,0,0,24,
26,N/A,03-03-2021,Bagharpara,DCBTN-CIFF,"UCF orientation/meeting",0000,February,24-02-2021,02:00:00,24-02-2021,04:00:00,Khulna,Jashore,Bagherpara,Jamdia,,"Vetabollah polli somaj",,0,6,0,0,24,
